nama|kota
Apotek Medikasih|JAKARTA TIMUR
Apotek Sukarame|BANDAR LAMPUNG
Apotek Raksa Raga|BANDUNG
Apotek Panjalu Prima|CIAMIS
Apotek Syek Abdul Qodir Jaelani|PROBOLINGGO
Apotek K 24 Bambu Apus|JAKARTA TIMUR
Apotek Permata Cinta|LOMBOK TIMUR
Apotek Natalia(Ar)|JAKARTA BARAT
Apotek Manna|BENGKULU SELATAN
Apotek Virlian|KUNINGAN
Apotek Perintis Putra|TEGAL
Apotek Sonia|BATAM
Apotek Sabena Farma|SAMARINDA
Apotek Media Klayan|CIREBON
Apotek Fitrah Farma I|BOGOR
Apotek Ranca Farma|BANDUNG
Apotek Sunset Daily Farma|BADUNG
Apotek Arta Farma|TABANAN
Apotek Guardian Uluwatu Raya|BADUNG
Apotek Maisunah|PONOROGO
Apotek Bhakti Purnama|JAKARTA SELATAN
Apotek K 24 Wahid Hasyim|PALEMBANG
Apotek Generik Panjang Cidodol|JAKARTA SELATAN
Apotek Podo Mari|CILACAP
Apotek Wondama Farma|MANOKWARI
Apotek Asahi Farma|SRAGEN
Apotek K 24 Rawamangun|JAKARTA TIMUR
Apotek Generik Tanjung Barat Selatan|JAKARTA SELATAN
Apotek Waioti|SIKKA
Apotek Fiara Farma|LUWU
Apotek Dhamar Setia|KEDIRI
Apotek Boplo|JAKARTA PUSAT
Apotek K 24 Iskandar Muda|MEDAN
Apotek Joe Farma II|PRABUMULIH
Apotek Kurnia Sehat|BUNGO
Apotek Amurang|MINAHASA SELATAN
Apotek Musdalifah|BOMBANA
Apotek Pasadena Farma|LAMONGAN
Apotek Sehat Mulia|PALEMBANG
Apotek Ogan|PALEMBANG
Apotek Indah Farma I|NABIRE
Apotek Karya|BATU BARA
Apotek Padma Medika|DEPOK
Apotek Eka Farma|BANDAR LAMPUNG
Apotek Mery|BANYU ASIN
Apotek Century Tomang|JAKARTA BARAT
Apotek B A K T I|PONOROGO
Apotek Mega JdanJ|PRABUMULIH
Apotek Generik 36 H. Mean|TANGERANG
Apotek Medikita Farma|MOROWALI
Apotek Dirgantara|PEKANBARU
Apotek Daun Hijau|SINGKAWANG
Apotek Delapan|JEPARA
Apotek Rakyat Rizky Klimaks|BULUKUMBA
Apotek Watukumpul|PEMALANG
Apotek Al Ummi|DUMAI
Apotek Prima Rempoa|JAKARTA SELATAN
Apotek Dhonny Farma|PELALAWAN
Apotek Urip Aruq|SAMARINDA
Apotek Irham Medika|BANDUNG
Apotek Yoga Farma|JAKARTA UTARA
Apotek Mufid Farma|PIDIE
Apotek Telaga Medika|GROBOGAN
Apotek Afari Farma|TEBO
Apotek Shatara|BANJAR
Apotek Galery Candra|MALANG
Apotek K 24 Ujung Berung|BANDUNG
Apotek Karina Prima|JAKARTA SELATAN
Apotek Prima Husada|JAMBI
Apotek Kimia Farma 42|JAKARTA SELATAN
Apotek Surya Mandiri|GARUT
Apotek Pluit Timur|JAKARTA UTARA
Apotek Faiz 2|TANGERANG
Apotek Farah Pharma|BOGOR
Apotek K   24 Sesetan|DENPASAR
Apotek Rap Farma|KARIMUN
Apotek Anugrah Borneo Permai|TARAKAN
Apotek Kepung Jaya|KEDIRI
Apotek Asri Surya Medika|JAKARTA PUSAT
Apotek Cinere|TANGERANG SELATAN
Apotek Amanah Persada|SURABAYA
Apotek Abdi Mulia|SURABAYA
Apotek Keselamatan|JAKARTA SELATAN
Apotek Century Healthcare Cibinong|BOGOR
Apotek Century Bandar Kemayoran|JAKARTA UTARA
Apotek Zentrum|BOGOR
Apotek Darma Plus 2|BALIKPAPAN
Apotek Zaki|JAKARTA TIMUR
Apotek Rhema Murni|SEMARANG
Apotek Kronelan|SUKOHARJO
Apotek Yope|BANDUNG BARAT
Apotek Gama 1|CILEGON
Apotek Podomoro|MAGELANG
Apotek Kimia Farma 21|YOGYAKARTA
Apotek Engal Saras|OGAN KOMERING ULU TIMUR
Apotek Altasa|MOJOKERTO
Apotek Taurus|MADIUN
Apotek Meyse|SORONG
Apotek Panjitilar|MATARAM
Apotek Chendrawasih|BANJARMASIN
Apotek Generik Kalisari 8|JAKARTA TIMUR
Apotek Ngadirejo|MADIUN
Apotek Purwa Farma|GROBOGAN
Apotek Guna Medika Farma|DENPASAR
Apotek Nikita Farma|BOGOR
Apotek Jaya Indah|LAHAT
Apotek Perumdan|PEKANBARU
Apotek Sisehat Sisma Farma|KLATEN
Apotek Al Fath Medika|REMBANG
Apotek Sarmi Farma|SARMI
Apotek Relkana|BATAM
Apotek Bima Jaya|CIMAHI
Apotek Klinik Utama Bunda Asni|WAY KANAN
Apotek Era Medika|DENPASAR
Apotek Tridadi|SLEMAN
Apotek Kimia Farma No.59|BATAM
Apotek Adisyah Farma|PALEMBANG
Apotek Libra|PRINGSEWU
Apotek Euro Giatama|PANDEGLANG
Apotek Kimia Farma 309|MANADO
Apotek Arrati|BOGOR
Apotek Merjosari|MALANG
Apotek Doa Damai Sehat|SLEMAN
Apotek Danidana|SURABAYA
Apotek Gama 2|CILEGON
Apotek 75|SIDOARJO
Apotek Erlia|LOMBOK TIMUR
Apotek Kimia Farma Ii|KLATEN
Apotek Abadi Sehat|JAKARTA TIMUR
Apotek London Beauty C|TEGAL
Apotek Kpri Rscm|JAKARTA PUSAT
Apotek Uki Farma|BANDUNG
Apotek Fajar Bulan|LAMPUNG BARAT
Apotek Guardian Giant Villa Melati Mas|TANGERANG SELATAN
Apotek Yoma Abadi Farma|BANYUWANGI
Apotek Nirwana Farma|GARUT
Apotek Mulia Farma 2|MAMUJU
Apotek An'am|BONTANG
Apotek Nusakambangan|MALANG
Apotek K 24 Krukut|DEPOK
Apotek Sagita Farma|PADANG
Apotek Sokawera|BANYUMAS
Apotek Century Juanda Dago|BANDUNG
Apotek Dukuh Kupang|SURABAYA
Apotek Dipa|BANDAR LAMPUNG
Apotek Mitra Keluarga|BIREUEN
Apotek Sehat|PIDIE
Apotek Rahayu Baru|BANYUMAS
Apotek Emmy Farma|SURABAYA
Apotek Palma|DELI SERDANG
Apotek Mirah|BANDUNG
Apotek K   96|SURABAYA
Apotek Guardian Daan Mogot|JAKARTA BARAT
Apotek Mandiri 3|PAMEKASAN
Apotek Karitas Farma|MAKASSAR
Apotek Gunung Sahari|JAKARTA PUSAT
Apotek Generik Adam Kebon Jeruk|JAKARTA BARAT
Apotek Gendheng Afiat|SLEMAN
Apotek Sidhi Medhika|JAKARTA BARAT
Apotek L.C|CIANJUR
Apotek Kenny dan Khevin|SAMARINDA
Apotek Kimia Farma.|DENPASAR
Apotek Assalaam Medic Care|SUKOHARJO
Apotek Dr. Milhan, Spog, Mm|TAPIN
Apotek Sinar Tama|DELI SERDANG
Apotek Kimia Farma 143 Margonda|DEPOK
Apotek Chandra Medika|SORONG
Apotek Agats Medika.|DENPASAR
Apotek Gumay Jaya|PALEMBANG
Apotek Ada Farma|BALIKPAPAN
Apotek Generik Praja Dalam K|JAKARTA SELATAN
Apotek Mulia Amanah|JAKARTA TIMUR
Apotek Mutiara Medicine|BEKASI
Apotek Nifarma|SIDOARJO
Apotek Viva Generik Patimura Ungaran|SEMARANG
Apotek Ilanur 1|TANGERANG
Apotek Inno Farma|NGAWI
Apotek Arkaan Farma|SUKOHARJO
Apotek Fix Farma|SUKABUMI
Apotek Yemima Lenteng Agung|JAKARTA SELATAN
Apotek Perintis Slawi|TEGAL
Apotek K 24 Lenjend Suprapto|TULUNGAGUNG
Apotek Express|SURABAYA
Apotek Purnama Diberkati|SERANG
Apotek Rafah|JAKARTA TIMUR
Apotek Bayah Farma|LEBAK
Apotek Malaka Jatiwaringin|BEKASI
Apotek Cana Pharma|JAKARTA BARAT
Apotek Valdi|JAKARTA TIMUR
Apotek Ar. Adinda|SIDENRENG RAPPANG
Apotek Bangun Jaya|CIREBON
Apotek Uno Farma|RAJA AMPAT
Apotek Generik 31 Prabu Siliwangi|TANGERANG
Apotek Sumber Pangestu|JOMBANG
Apotek Viva Generik Kedungmundu|SEMARANG
Apotek Nizmah Farma|BREBES
Apotek Zuliesta Farma|SUKOHARJO
Apotek K   24 Dharmahusada|SURABAYA
Apotek Sumur Bor (Ar)|JAKARTA BARAT
Apotek Fario|BEKASI
Apotek Sinar Agung|PEKANBARU
Apotek A38+|BANYUMAS
Apotek Alam 1|LAMONGAN
Apotek Buchori|SERANG
Apotek Century Senayan|JAKARTA PUSAT
Apotek Kurniawan|BANDUNG
Apotek Emha Farma|MAGELANG
Apotek Elsyaday Farma|ALOR
Apotek Alfaafa|BANYUMAS
Apotek Ngantang Sehat|MALANG
Apotek Fauzi|BANDAR LAMPUNG
Apotek Century Sentra Timur Residence|JAKARTA TIMUR
Apotek Cipete Raya|JAKARTA SELATAN
Apotek Elma Farma|MALANG
Apotek Mopah|SIDOARJO
Apotek Tuayana|SUKABUMI
Apotek H O S A N A|SURABAYA
Apotek Sentra Berkat|SURABAYA
Apotek Redho|BENGKULU SELATAN
Apotek Rama Sinta|GARUT
Apotek Quwattin|BANDUNG
Apotek Albiruni|JAKARTA TIMUR
Apotek U2 Farma|KLATEN
Apotek Barakan|KARANGANYAR
Apotek Tri Farma|MEDAN
Apotek Kania Farma|BANDUNG
Apotek Generik Talas|TANGERANG SELATAN
Apotek Jes 8|SURABAYA
Apotek Sabram Farma|NGANJUK
Apotek Ijen Jaya Farma|BONDOWOSO
Apotek Karta Farma|TULANG BAWANG BARAT
Apotek Generik Wr. Supratman|TANGERANG SELATAN
Apotek Sinar Surya Farma|ALOR
Apotek Awi Farma|KUTAI BARAT
Apotek Kureksari|SIDOARJO
Apotek Fathir|PESAWARAN
Apotek Medika Lestari|JAKARTA BARAT
Apotek Monjoefarm|MATARAM
Apotek Budi Dharma|PALEMBANG
Apotek Telogorejo Hasan|BANDAR LAMPUNG
Apotek Polimak|JAYAPURA
Apotek Generik Pancoran|JAKARTA SELATAN
Apotek Maria Elizabeth|SURABAYA
Apotek Marco|MAGELANG
Apotek SS Piramida|PEKANBARU
Apotek Nabilhan|NGANJUK
Apotek Adika Mulia|MAROS
Apotek Guardian Aeon Mall|TANGERANG
Apotek Sabang|BANGKA SELATAN
Apotek Habil Farma|KARANGANYAR
Apotek Juan Farma I|OGAN KOMERING ULU
Apotek Altara|MEDAN
Apotek Prapatan|BLITAR
Apotek Pada Waras|
Apotek Nasrullah|KEDIRI
Apotek Samudera|LHOKSEUMAWE
Apotek Haura Farma|BANDUNG
Apotek Tungkal Jaya Farma|TANJUNG JABUNG B
Apotek Sehat Farma IV|TOMOHON
Apotek Pulo Asem|JAKARTA TIMUR
Apotek Zahara Farma|MEDAN
Apotek Sumpiuh|BANYUMAS
Apotek Anugerah Bahagia|KENDAL
Apotek Kartika I|KOTAMOBAGU
Apotek Kimia Farma Kentungan|SLEMAN
Apotek KF Pelengkap RSU TTE|TERNATE
Apotek Waingapu Farma|SUMBA TIMUR
Apotek Watson Mega Bekasi Hypermall|BEKASI
Apotek Su'Adah|PALEMBANG
Apotek Kimia Farma Kebon Bawang|JAKARTA UTARA
Apotek Sehat Raga Dua|BOGOR
Apotek Praditpa Farma|PEMALANG
Apotek Sontani Farma|CIMAHI
Apotek Care Farma|MANADO
Apotek Sasmita|BADUNG
Apotek An Najah|DEPOK
Apotek Karangnongko|KLATEN
Apotek Mega Buana|PALU
Apotek K 24 Sawah Besar|JAKARTA BARAT
Apotek Nichaila Berkat|HUMBANG HASUNDUTAN
Apotek Kirana Medika|BEKASI
Apotek Bajomulyo|PATI
Apotek Century Pharma Gren Vil Ii|JAKARTA BARAT
Apotek Isfa Medika|BATANG
Apotek Generik Depok I|DEPOK
Apotek Depo Farmasi Cendana|JAKARTA BARAT
Apotek Toegoe|BANDUNG
Apotek Asih|KARANGANYAR
Apotek Kelutan Sehat|TRENGGALEK
Apotek Sindang Jaya|TANGERANG
Apotek Sari Rachmat|PANGKAJENE DAN KEPULAUAN
Apotek Century Rasamala|JAKARTA SELATAN
Apotek Kimia Farma Perumnas|CIREBON
Apotek Tunas Mulia|LUWU UTARA
Apotek Sugesti|SERANG
Apotek Meidina Farma|BOGOR
Apotek Panjerejo|TULUNGAGUNG
Apotek Adine Farma|SIDOARJO
Apotek Medan Utama|JAKARTA BARAT
Apotek Adinda Farma|TOJOUNA UNA
Apotek Rori Farma|PALU
Apotek Nabhil Farma|MATARAM
Apotek Adinoto|KARAWANG
Apotek 121|SURABAYA
Apotek Sampangan|SEMARANG
Apotek Guardian Jati Asih|BEKASI
Apotek Armina|MANDAILING NATAL
Apotek R A M D A N I|SURABAYA
Apotek Bringin Farma|SEMARANG
Apotek Sinar Abadi 1|JAKARTA UTARA
Apotek Villy Farma 2|JAYAPURA
Apotek Mitra Abadi|SEMARANG
Apotek Liberty|PANDEGLANG
Apotek Rizky|ACEH TAMIANG
Apotek K  24 Sakinah|BENGKULU SELATAN
Apotek Kf 77|MALANG
Apotek G L O R Y|SURABAYA
Apotek Herba Med|SEMARANG
Apotek Anugrah Sehat|BUNGO
Apotek Rapha Medica Gunung Putri|BOGOR
Apotek Generik Babakan|BEKASI
Apotek Segaran|PALEMBANG
Apotek Hafis Farma|SELUMA
Apotek Gampang Ingat|JAKARTA UTARA
Apotek Meutuah Bireuen|BIREUEN
Apotek Mitra Sehat|DELI SERDANG
Apotek Almaidah|KEPULAUAN MERANTI
Apotek Ok Sehat|BANYUMAS
Apotek Klinik BMC|BANGKA
Apotek Daya Medika|JAKARTA BARAT
Apotek Kimia Farma No. 1|JAKARTA PUSAT
Apotek Eterna Medica|SURABAYA
Apotek Digda Farma|NGANJUK
Apotek Kembar Farma|BANDUNG
Apotek Wiria Farma|DUMAI
Apotek Al Irsyad|SOLOK
Apotek Monica|JAKARTA BARAT
Apotek Yasyfiin|GROBOGAN
Apotek Ageng Farma|SURABAYA
Apotek Ayu|BANDAR LAMPUNG
Apotek Pinayungan|BREBES
Apotek Malaka Yani|JAKARTA TIMUR
Apotek Fajar Medika|BADUNG
Apotek Puri|MEDAN
Apotek Panjunan|SIDOARJO
Apotek Balay Kambang|BOGOR
Apotek Klitik Farma|NGAWI
Apotek Kimia Farma S. Parman 271|SEMARANG
Apotek Farida Salam|MAKASSAR
Apotek Kurma|SURABAYA
Apotek Ilham Putra Farma|POLEWALI MANDAR
Apotek Al Ma'Soem 2|BANDUNG
Apotek Kanda Dinda|PALEMBANG
Apotek Otista Baru|JAKARTA TIMUR
Apotek Mahdi Farma|TRENGGALEK
Apotek Viva Generik Nangka|SLEMAN
Apotek Bagas Medika 2|BADUNG
Apotek Aura Medika|BERAU
Apotek Rifa|BEKASI
Apotek Nita Anandi|DENPASAR
Apotek Guardian Cibubur Junction|JAKARTA TIMUR
Apotek Al Madina Farma|NGAWI
Apotek Tangan Mas|TEBINGTINGGI
Apotek Guardian Giant Spm Magelang|MAGELANG
Apotek Century Pharma Permata Buana|JAKARTA BARAT
Apotek Medicor Clinik|JAKARTA TIMUR
Apotek Leuwigoong|GARUT
Apotek Valensi Utama|KOLAKA
Apotek Ben Sehat|OGAN KOMERING ULU TIMUR
Apotek Dewa Farma|BENGKULU
Apotek Umi Eva|SLEMAN
Apotek Gendis|PEMALANG
Apotek Sariartha|BANYUWANGI
Apotek Griya Sejahtera|BOGOR
Apotek Perwira Jaya|BEKASI
Apotek Gajah Farma|WONOGIRI
Apotek Pulau Mas|DELI SERDANG
Apotek Restu Farma|BENGKULU
Apotek Syarfa Farma|MALUKU TENGAH
Apotek Yasaya|GRESIK
Apotek Nares Farma|SEMARANG
Apotek Century Metro Indah Mall|BANDUNG
Apotek Waluyo Gung|JEMBER
Apotek Dean Farma|PEKANBARU
Apotek Generik 1 Poris Indah|TANGERANG
Apotek Century Nariba|JAKARTA SELATAN
Apotek Yanda Farma|BATAM
Apotek Nila Farma|KENDARI
Apotek Sampang|CILACAP
Apotek Yogatama|SEMARANG
Apotek Mitrasana|JAKARTA UTARA
Apotek Generik Banjarsari|SERANG
Apotek Keluarga Sehat 24|PATI
Apotek Ladiva|PALEMBANG
Apotek Insani Medika|SAMARINDA
Apotek Generik Kp Pisangan|JAKARTA TIMUR
Apotek Batu Alam|KUNINGAN
Apotek Bekti Waras|BLITAR
Apotek Singgani|PALU
Apotek Sukun Farma|MALANG
Apotek Riyo|MAKASSAR
Apotek Anastasia Farma|BATU
Apotek Joglo|JAKARTA BARAT
Apotek Dhanu Farma|MEDAN
Apotek Kenari|BOGOR
Apotek Nglarangan|KARANGANYAR
Apotek Notri Farma|PEMALANG
Apotek Nusawungu|CILACAP
Apotek Zarwa farma|KAUR
Apotek Among Farma|LOMBOK TENGAH
Apotek Anta Syifa Farma|BANDUNG
Apotek Elka Farma|PESAWARAN
Apotek Patikraja|BANYUMAS
Apotek Pagu Farma|KEDIRI
Apotek Tugu|BANDAR LAMPUNG
Apotek Asysyfa|TASIKMALAYA
Apotek Kimia Farma Cak Doko|KUPANG
Apotek Maju Pratama|BENGKALIS
Apotek Mitrasana Harapan Baru 2|BEKASI
Apotek K 24 Cibaduyut|BANDUNG
Apotek Dharma Susila|BADUNG
Apotek Fera|BENGKULU
Apotek Harum|KEBUMEN
Apotek Shafa Azzahra|LAMONGAN
Apotek Putri Damai|JAKARTA UTARA
Apotek Wirya Wijaya|TRENGGALEK
Apotek Kimia Farma Patih Jelantik|BADUNG
Apotek Rafa Farma|BUNGO
Apotek Mitrasana Perumnas I|BEKASI
Apotek Utari|TASIKMALAYA
Apotek Bismillah|PEKANBARU
Apotek Bina|MALANG
Apotek Prima Lestari|JAKARTA UTARA
Apotek Slamet Hidup|MAGETAN
Apotek Teno Jaya|SURABAYA
Apotek Bm 41|GRESIK
Apotek Eterline|BEKASI
Apotek Lengkong|BANDUNG
Apotek Klampis Farma|SURABAYA
Apotek Dirgantara Husada|JAKARTA TIMUR
Apotek Risquna Farma|GRESIK
Apotek Totogan|SURAKARTA
Apotek Sekar Langit|KLATEN
Apotek Zardi Medistra|OGAN KOMERING ULU
Apotek Madani Farma|DELI SERDANG
Apotek Gantar|INDRAMAYU
Apotek Indria|BOJONEGORO
Apotek Gowa Farma|GOWA
Apotek Abdullah Ii|PROBOLINGGO
Apotek Vin Jaya|CIREBON
Apotek Asa Medika Nusantara|TANGERANG SELATAN
Apotek Mulya Putra|JEMBER
Apotek Nahla|SIDOARJO
Apotek Hanif|CIANJUR
Apotek K 24 Gatot Subroto|MALANG
Apotek Sumber Sehat 07|BANGKA BARAT
Apotek Tata|JAKARTA BARAT
Apotek Novita Farma|JEMBER
Apotek Hari'S Farma|MALANG
Apotek Andriani Farma|BOGOR
Apotek Rai Affiyah|BANDUNG
Apotek Krian Husada|SIDOARJO
Apotek Dawe Waras|KUDUS
Apotek Bulakrejo|SUKOHARJO
Apotek Estetika Dipa Utama|SURABAYA
Apotek Kimia Farma 152|JAKARTA SELATAN
Apotek Danis Farma|JEPARA
Apotek Saranani|KENDARI
Apotek Moro Sehat|BEKASI
Apotek Pradipta Farma|BANDUNG
Apotek Teluk Dalam|BANJARMASIN
Apotek Kurnia Jaya Farma (Ar)|JAKARTA BARAT
Apotek Endah|BANDUNG
Apotek Altoona|BOGOR
Apotek Generik Panca Warga|JAKARTA TIMUR
Apotek Ar. Glory Farma|JAKARTA BARAT
Apotek Guardian Plaza Thamrin|MEDAN
Apotek D dan I Skin Center|TANGERANG SELATAN
Apotek Tiar Medika|BEKASI
Apotek Mulya|BENGKULU
Apotek KF Atmo|PALEMBANG
Apotek RSAB Ujung batu|ROKAN HULU
Apotek Dhi A   28|SURABAYA
Apotek Rakyat Alfian|JENEPONTO
Apotek Mila Farma|BENGKULU
Apotek Century Tora|PALEMBANG
Apotek Sahabat Jaya|PADANG
Apotek Paramma Brothers|GOWA
Apotek Fieza|BENGKALIS
Apotek Jaten|KARANGANYAR
Apotek Sukaramai|MEDAN
Apotek Mitrasana Gunung Putri I|BOGOR
Apotek Erross|CIREBON
Apotek New Prismy Farma|SURABAYA
Apotek Surya Setia|BOYOLALI
Apotek Limas Agung|DEMAK
Apotek Amru Farma|INDRAMAYU
Apotek Tujuh Satu|KEDIRI
Apotek Mandiri I|PEKANBARU
Apotek Varasindo|BOGOR
Apotek Gelong|JAKARTA BARAT
Apotek Sarana Sehat|BREBES
Apotek Reno Medika|BADUNG
Apotek Nevanya|TANGERANG SELATAN
Apotek Guardian Giant Spm Urip Somoharjo|YOGYAKARTA
Apotek Dr. Nize|SURABAYA
Apotek Ivan|ASAHAN
Apotek Pelem Watu|GRESIK
Apotek Sukses Jaya|JAKARTA SELATAN
Apotek Bulakamba|BREBES
Apotek Century Aston Marina|JAKARTA UTARA
Apotek Century Mega Mall Pluit|JAKARTA UTARA
Apotek Mitra Sehat Kita|BOGOR
Apotek Kimia Farma Citarum|SEMARANG
Apotek Zafina Farma|KEBUMEN
Apotek Natasha 2|BANDUNG
Apotek Sumber Wangi Farma|GRESIK
Apotek Rineka 2|BANDUNG BARAT
Apotek Swantoro|BOGOR
Apotek Regina|PADANG
Apotek Usada|JAKARTA PUSAT
Apotek Al Syfa|OGAN KOMERING ILIR
Apotek Songoyudan|SURABAYA
Apotek Mart Merry Farma|TANGERANG
Apotek Nugroho|KEPULAUAN MERANTI
Apotek K 24 Bintara Jaya|BEKASI
Apotek Iwan Farma|JOMBANG
Apotek Kelisya|JAKARTA TIMUR
Apotek Rani|PEKANBARU
Apotek Generik Rawa Kuning 2|JAKARTA TIMUR
Apotek Kota Wisata Medical Center|BOGOR
Apotek Matahari I|LABUHANBATU
Apotek Amerta Farma|DENPASAR
Apotek Arroz Farma Ii|PRINGSEWU
Apotek Rakyat Laris|BEKASI
Apotek Berkah Bersama|BENGKALIS
Apotek Sumber Anom Pare|KEDIRI
Apotek Gleduk|TULUNGAGUNG
Apotek Generik Durian Jagakarsa|JAKARTA SELATAN
Apotek Faryn Farma|SORONG
Apotek Manonjaya|TASIKMALAYA
Apotek Mitra Wahyu Utama|SIDOARJO
Apotek Guardian Cibinong City|BOGOR
Apotek Al Farma|POLEWALI MANDAR
Apotek Serayu Husada|DENPASAR
Apotek Viva Generik Siwalankerto|SURABAYA
Apotek Sarpon|PONOROGO
Apotek Sehat Farma II|MANADO
Apotek Kenjeran|SURABAYA
Apotek Koya Barat|JAYAPURA
Apotek Mekongga|KOLAKA
Apotek Diponegoro 2|SITUBONDO
Apotek Metro Husada|MALANG
Apotek Tangguh|PROBOLINGGO
Apotek Bunda Farma|SABANG
Apotek Setia Ii|BANDUNG
Apotek Aldillah|BANYUWANGI
Apotek Akrab Sehat|BOYOLALI
Apotek Medicine Shop|TANGERANG
Apotek Kertosono|NGANJUK
Apotek Kluwut|BREBES
Apotek Seplang|KARANGANYAR
Apotek Ridho Makmur|ROKAN HULU
Apotek Salsabilla|BOGOR
Apotek Ratna Ii|BANDAR LAMPUNG
Apotek F21 Penanggungan|KEDIRI
Apotek Generik Aria Putra|TANGERANG SELATAN
Apotek Anggi|PELALAWAN
Apotek Maspul Farma|LUWU TIMUR
Apotek Limbangan|CILACAP
Apotek Asia Barat|BOGOR
Apotek Rahayu 3|JEPARA
Apotek Boy Farma|
Apotek Dunia Sehat Kelapa Gading|JAKARTA UTARA
Apotek Ngembung Farma|GRESIK
Apotek Nanjung Medika|BLORA
Apotek Kimia Farma Kuningan|KUNINGAN
Apotek Pelita Jaya Farma|JAYAPURA
Apotek Rakyat 168|TASIKMALAYA
Apotek Tegalurung|KARAWANG
Apotek Leonten Farma|TANGERANG SELATAN
Apotek Anggita Farma|BANTUL
Apotek Suropati|PROBOLINGGO
Apotek Anugrah Duri Kosambi|JAKARTA BARAT
Apotek Medika Sarana Traliansia|BADUNG
Apotek Naifah Farma|KAMPAR
Apotek Grace Jaya Farma|INDRAGIRI HULU
Apotek Swastika|JEMBER
Apotek Advence Medical Center|JAMBI
Apotek Remedial|JAKARTA SELATAN
Apotek Tenri Bayang Farma|BANTAENG
Apotek Selamet|JAKARTA SELATAN
Apotek Laboratorium Parama|JAYAPURA
Apotek Ohc|JAKARTA PUSAT
Apotek Gading Indah|JAKARTA UTARA
Apotek K 24 Mekarsari|DEPOK
Apotek Mutia Farma|PEKANBARU
Apotek Nine Eighteen|JAKARTA SELATAN
Apotek Dhifa|LOMBOK TIMUR
Apotek Celeban Pharmacy|YOGYAKARTA
Apotek Millennium Pharma|TANGERANG
Apotek Piolia|BANTUL
Apotek Indah Sari|ACEH SINGKIL
Apotek JF 2|MUNA
Apotek Pesona Farma|DEPOK
Apotek Fitz|BOGOR
Apotek Viva Generik Semolowaru|SURABAYA
Apotek Guardian Bellagio|JAKARTA SELATAN
Apotek Hebat Farma|SURABAYA
Apotek Kandang Gampang|PURBALINGGA
Apotek Rumah Sakit Hermina Ciruas|SERANG
Apotek Kimia Farma Cibubur|JAKARTA TIMUR
Apotek Afisha Farma|CIREBON
Apotek Manshurin|SEMARANG
Apotek Lorok|PACITAN
Apotek Telemedika Farma 8|JAKARTA BARAT
Apotek Ris Farma|TULUNGAGUNG
Apotek Ass Salam|PURWAKARTA
Apotek Citra Abadi|BANDUNG
Apotek Salembaran Jaya|TANGERANG
Apotek Jati Sehat|BREBES
Apotek Takeran|MAGETAN
Apotek Tepat|PEKALONGAN
Apotek Khrisna|MEDAN
Apotek Agung Mulya|MERAUKE
Apotek Kopo Permai|BANDUNG
Apotek Angkasa Jaya|PEKANBARU
Apotek Viva Generik Sutorejo|SURABAYA
Apotek Aditya Usadha|BADUNG
Apotek Kemiri|SIDOARJO
Apotek Parisya|PALEMBANG
Apotek Cireundeu Farma|TANGERANG SELATAN
Apotek Pamoyanan Medika|TASIKMALAYA
Apotek Century Kota Baru|BEKASI
Apotek Karunia Medika|CILACAP
Apotek Manggana|PEKALONGAN
Apotek Ligar Medika|BANDUNG
Apotek Rakyat Rufei|SORONG
Apotek Azka Sehat|JAMBI
Apotek Bunda Inayah|BANJAR
Apotek Rakyat Murah|JAKARTA PUSAT
Apotek Abid Farma|PAREPARE
Apotek Ana Ulfa|DUMAI
Apotek Ganeca|TABANAN
Apotek Asyifa'|KUDUS
Apotek Zikri|TANJUNG JABUNG B
Apotek Pondok Indah I|JAKARTA SELATAN
Apotek K 24 Merdeka|JOMBANG
Apotek Tanjung Duren Raya|JAKARTA BARAT
Apotek Dua Susun|GORONTALO
Apotek Flamboyan|KAMPAR
Apotek Mata Kita|KEDIRI
Apotek Pasar Cikini|JAKARTA PUSAT
Apotek Surakarta Farma|SURAKARTA
Apotek Gema Sehat|CIANJUR
Apotek Kimia Farma Imam Bonjol|SAMARINDA
Apotek Polim|JAKARTA SELATAN
Apotek Budiasih|REMBANG
Apotek Wira Bethesda|MEDAN
Apotek Annisa Noor|BOGOR
Apotek Cikokol|TANGERANG
Apotek Tulungrejo Farma|BLITAR
Apotek Pancur Batu|DELI SERDANG
Apotek Unimma Medika|MAGELANG
Apotek Bunga Padi|SLEMAN
Apotek Sengkaling Farma|MALANG
Apotek Ibnu Sehat|MUARA ENIM
Apotek Usaha Baru Ii|SUNGAI PENUH
Apotek Cammany|BANDUNG
Apotek Guardian Gandaria City|JAKARTA SELATAN
Apotek Sinar Farma|DELI SERDANG
Apotek Sahid|LANGSA
Apotek Putri Tunggal|SIDOARJO
Apotek Hilmy Farma|BANJARNEGARA
Apotek Matahari Farma|SURABAYA
Apotek Akira Farma|BALIKPAPAN
Apotek Rahmawani|ROKAN HULU
Apotek Trisula|KEDIRI
Apotek Laris 4|BANDA ACEH
Apotek Profesi Mandiri|JAKARTA SELATAN
Apotek Gondrong|TANGERANG
Apotek K24 Lapangan Tembak|JAKARTA TIMUR
Apotek Kelapa Dua|JAKARTA BARAT
Apotek Century Pharmapamulang|TANGERANG SELATAN
Apotek Zaky|ACEH TENGGARA
Apotek Sumber Joyo|MADIUN
Apotek Sinar Cempaka|JAKARTA PUSAT
